"","precursor_name","updated_precursor_name"
"1","CE(14:0)","CE(14:0)"
"2","CE(16:0)","CE(16:0)"
"3","CE(16:1)","CE(16:1)"
"4","CE(18:0)","CE(18:0)"
"5","CE(18:1)","CE(18:1)"
"6","CE(18:2)","CE(18:2)"
"7","CE(18:3)","CE(18:3)"
"8","CE(20:0)","CE(20:0)"
"9","CE(20:1)","CE(20:1)"
"10","CE(20:2)","CE(20:2)"
"11","CE(20:3)","CE(20:3)"
"12","CE(20:4)","CE(20:4)"
"13","CE(20:5)","CE(20:5)"
"14","CE(22:0)","CE(22:0)"
"15","CE(22:1)","CE(22:1)"
"16","CE(22:2)","CE(22:2)"
"17","CE(22:4)","CE(22:4)"
"18","CE(22:5)","CE(22:5)"
"19","CE(22:6)","CE(22:6)"
"20","CE(24:0)","CE(24:0)"
"21","CE(24:1)","CE(24:1)"
"22","SIL_14:1 cholesteryl-d7 ester","SIL_CE(14:1)_d7"
"23","SIL_16:1 cholesteryl-d7 ester","SIL_CE(16:1)_d7"
"24","SIL_18:1 cholesteryl-d7 ester","SIL_CE(18:1)_d7"
"25","SIL_20:3 cholesteryl-d7 ester","SIL_CE(20:3)_d7"
"26","SIL_22:4 cholesteryl-d7 ester","SIL_CE(22:4)_d7"
"27","CER(14:0)","Cer(d18:1/14:0)"
"28","CER(16:0)","Cer(d18:1/16:0)"
"29","CER(18:0)","Cer(d18:1/18:0)"
"30","CER(18:1)","Cer(d18:1/18:1)"
"31","CER(20:0)","Cer(d18:1/20:0)"
"32","CER(20:1)","Cer(d18:1/20:1)"
"33","CER(22:0)","Cer(d18:1/22:0)"
"34","CER(22:1)","Cer(d18:1/22:1)"
"35","CER(24:0)","Cer(d18:1/24:0)"
"36","CER(24:1)","Cer(d18:1/24:1)"
"37","CER(26:0)","Cer(d18:1/26:0)"
"38","CER(26:1)","Cer(d18:1/26:1)"
"39","SIL_C15 Ceramide-d7 (d18:1-d7/15:0)","SIL_Cer(d18:1-d7/15:0)_d7"
"40","SIL_C16:1 Ceramide-d7 (d18:1-d7/16:1)","SIL_Cer(d18:1-d7/16:1)_d7"
"41","SIL_C18:1 Ceramide-d7 (d18:1-d7/18:1)","SIL_Cer(d18:1-d7/18:1)_d7"
"42","SIL_C20:1 Ceramide-d7 (d18:1-d7/20:1)","SIL_Cer(d18:1-d7/20:1)_d7"
"43","SIL_C22:1 Ceramide-d7 (d18:1-d7/22:1)","SIL_Cer(d18:1-d7/22:1)_d7"
