"","precursor_name","updated_precursor_name"
"1","CE(14:0)","CE(14:0)"
"2","CE(16:0)","CE(16:0)"
"3","CE(16:1)","CE(16:1)"
"4","CE(18:0)","CE(18:0)"
"5","CE(18:1)","CE(18:1)"
"6","CE(18:2)","CE(18:2)"
"7","CE(18:3)","CE(18:3)"
"8","CE(20:0)","CE(20:0)"
"9","CE(20:1)","CE(20:1)"
"10","CE(20:2)","CE(20:2)"
"11","CE(20:3)","CE(20:3)"
"12","CE(20:4)","CE(20:4)"
"13","CE(20:5)","CE(20:5)"
"14","CE(22:0)","CE(22:0)"
"15","CE(22:1)","CE(22:1)"
"16","CE(22:2)","CE(22:2)"
"17","CE(22:4)","CE(22:4)"
"18","CE(22:5)","CE(22:5)"
"19","CE(22:6)","CE(22:6)"
"20","CE(24:0)","CE(24:0)"
"21","CE(24:1)","CE(24:1)"
"22","SIL_CE(16:0)_d7_Lipidyzer","SIL_CE(16:0)_d7"
"23","SIL_CE(16:1)_d7_Lipidyzer","SIL_CE(16:1)_d7"
"24","SIL_CE(18:1)_d7_Lipidyzer","SIL_CE(18:1)_d7"
"25","SIL_CE(18:2)_d7_Lipidyzer","SIL_CE(18:2)_d7"
"26","SIL_CE(20:3)_d7_Lipidyzer","SIL_CE(20:3)_d7"
"27","SIL_CE(20:4)_d7_Lipidyzer","SIL_CE(20:4)_d7"
"28","SIL_CE(20:5)_d7_Lipidyzer","SIL_CE(20:5)_d7"
"29","SIL_CE(22:6)_d7_Lipidyzer","SIL_CE(22:6)_d7"
"30","CER(14:0)","Cer(d18:1/14:0)"
"31","CER(16:0)","Cer(d18:1/16:0)"
"32","CER(18:0)","Cer(d18:1/18:0)"
"33","CER(18:1)","Cer(d18:1/18:1)"
"34","CER(20:0)","Cer(d18:1/20:0)"
"35","CER(20:1)","Cer(d18:1/20:1)"
"36","CER(22:0)","Cer(d18:1/22:0)"
"37","CER(22:1)","Cer(d18:1/22:1)"
"38","CER(24:0)","Cer(d18:1/24:0)"
"39","CER(24:1)","Cer(d18:1/24:1)"
"40","CER(26:0)","Cer(d18:1/26:0)"
"41","CER(26:1)","Cer(d18:1/26:1)"
"42","SIL_CER(16:0)_d_Lipidyzer","SIL_Cer(d18:1/16:0)"
"43","DAG(14:0_14:0)","DG(14:0_14:0)"
"44","DAG(14:0_16:1)","DG(14:0_16:1)"
"45","DAG(14:0_18:1)","DG(14:0_18:1)"
"46","DAG(14:0_18:2)","DG(14:0_18:2)"
